Country Code;Country Label;City;Location;Coordinates;Pollutant;Value;Unit;Last Updated;Source Name
;;;;53.915675,14.246575;;8.01206;;2023-12-20T08:00:00Z;
;;;;62.45471,-114.35535;;6.054166595141093;;2024-11-30T01:00:00Z;
;;;;61.789676,15.894706;;17.476934579156694;;2026-01-19T09:00:00Z;
;;;;18.358249,103.652055;;9.7;;2023-06-13T00:00:00Z;
;;;;45.735931,-121.488398;;3.2;;2020-10-21T21:00:00Z;
;;;;-23.7744,151.1055;;5.8;;2026-01-19T08:00:00Z;
;;;;-37.05928,142.7799;;3.17;;2026-01-19T08:00:00Z;
;;;;16.25802367972713,102.77506342533592;;0.8350000039674342;;2025-11-19T05:00:00Z;
;;;;-38.2392921,146.3873;;4.38;;2026-01-19T08:00:00Z;
;;;;43.212988,-123.317353;;25.94133332570394;;2026-01-19T09:00:00Z;
;;;;10.735369779100294,122.53702703753301;;0.1733630971007404;;2026-01-03T18:00:00Z;
;;;;14.8762222,103.4965833;;57.2;;2026-01-19T08:00:00Z;
;;;;44.087397,-103.273777;;2.5;;2026-01-17T21:00:00Z;
;;;;15.875800000000002,104.6223;;38.8;;2026-01-19T08:00:00Z;
;;;;15.086836199999999,104.32647460000001;;13.6;;2023-11-23T06:00:00Z;
;;;;14.204219999999998,101.21509;;26.7;;2026-01-19T08:00:00Z;
;;;;60.169640000006716,24.939240000258355;;0.080545;;2026-01-19T06:00:00Z;
;;;;52.713113471698044,-1.3838661243430228;;47.85583318074544;;2026-01-19T09:00:00Z;
;;;;-28.829229,31.893536;;3.189041681587696;;2026-01-19T09:00:00Z;
;;;;-28.865244,31.911679;;5.099666659037272;;2026-01-19T09:00:00Z;
;;;;-28.731301,32.039016;;7.08690470457077;;2024-07-19T05:00:00Z;
;;;;14.920165439073962,104.71185584158256;;4.25898806254069;;2025-02-24T07:00:00Z;
;;;;40.20938,-104.82405;;2.3;;2026-01-18T12:00:00Z;
